Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2022,Shapovalov D.,Djere L.,14,51.0,CAN,2016,76,183,Left,SRB,2013.0,80.0,185.0,Right,Yes,-37.0,Medium,No
2022,Kwon S.W.,Rune H.,54,99.0,KOR,2015,72,180,Right,DEN,2020.0,77.0,188.0,Right,Yes,-45.0,Medium,Yes
2022,Lajovic D.,Fucsovics M.,39,35.0,SRB,2007,78,183,Right,HUN,2010.0,82.0,188.0,Right,No,4.0,Low,Yes
2022,Vukic A.,Harris L.,144,33.0,AUS,2018,85,188,Right,RSA,2015.0,80.0,193.0,Right,No,111.0,High,Yes
2022,Garin C.,Bagnis F.,19,72.0,CHI,2013,85,185,Right,ARG,2008.0,82.0,183.0,Left,Yes,-53.0,Medium,No
2022,Martinez P.,Delbonis F.,61,38.0,ESP,2016,76,185,Right,ARG,2007.0,88.0,191.0,Left,No,23.0,Low,No
2022,Bonzi B.,Gojowczyk P.,63,82.0,FRA,2015,82,183,Right,GER,2006.0,83.0,188.0,Right,Yes,-19.0,Low,Yes
2022,Albot R.,Nishioka Y.,124,119.0,MDA,2008,69,175,Right,JPN,2014.0,64.0,170.0,Left,No,5.0,Low,No
2022,Alcaraz C.,Tabilo A.,31,135.0,ESP,2018,72,185,Right,CHI,2015.0,75.0,188.0,Right,Yes,-104.0,High,Yes
2022,Kozlov S.,Vesely J.,169,78.0,USA,2013,79,183,Right,CZE,2009.0,92.0,198.0,Left,No,91.0,High,No
2022,Monfils G.,Coria F.,20,64.0,FRA,2004,80,193,Right,ARG,2010.0,73.0,180.0,Right,Yes,-44.0,Medium,Yes
2022,Berrettini M.,Nakashima B.,7,68.0,ITA,2015,95,196,Right,USA,2019.0,84.0,185.0,Right,Yes,-61.0,Medium,Yes
2022,Khachanov K.,Kudla D.,30,105.0,RUS,2013,88,198,Right,USA,2010.0,75.0,180.0,Right,Yes,-75.0,Medium,Yes
2022,Mannarino A.,Duckworth J.,69,49.0,FRA,2004,70,180,Left,AUS,2010.0,82.0,183.0,Right,No,20.0,Low,No
2022,Carreno Busta P.,Etcheverry T.,21,131.0,ESP,2009,78,188,Right,ARG,2015.0,82.0,196.0,Right,Yes,-110.0,High,Yes
2022,Bublik A.,Escobedo E.,37,141.0,KAZ,2014,76,196,Right,USA,2014.0,82.0,185.0,Right,Yes,-104.0,High,Yes
2022,Nadal R.,Giron M.,5,66.0,ESP,2001,85,185,Left,USA,2014.0,77.0,180.0,Right,Yes,-61.0,Medium,No
2022,Korda S.,Norrie C.,43,12.0,USA,2018,77,196,Right,GBR,2017.0,80.0,188.0,Left,No,31.0,Medium,No
2022,Hurkacz H.,Gerasimov E.,11,106.0,ITA,2013,77,188,Right,BLR,2010.0,84.0,183.0,Right,Yes,-95.0,High,Yes
2022,Koepfer D.,Taberner C.,53,108.0,GER,2016,79,180,Left,ESP,2015.0,78.0,183.0,Right,Yes,-55.0,Medium,No
2022,Moutet C.,Pouille L.,100,160.0,FRA,2016,71,175,Left,FRA,2012.0,81.0,185.0,Right,Yes,-60.0,Medium,No
2022,Griekspoor T.,Fognini F.,62,32.0,NED,2015,85,188,Right,ITA,2004.0,74.0,178.0,Right,No,30.0,Low,Yes
2022,Mcdonald M.,Milojevic N.,55,139.0,USA,2016,73,178,Right,SRB,2013.0,76.0,188.0,Right,Yes,-84.0,High,Yes
2022,Kecmanovic M.,Caruso S.,77,146.0,SRB,2017,75,183,Right,ITA,2010.0,80.0,185.0,Right,Yes,-69.0,Medium,Yes
2022,Sonego L.,Querrey S.,26,110.0,ITA,2013,76,191,Right,USA,2006.0,95.0,198.0,Right,Yes,-84.0,High,Yes
2022,Hanfmann Y.,Kokkinakis T.,126,103.0,GER,2015,84,193,Right,AUS,2013.0,82.0,196.0,Right,No,23.0,Low,Yes
2022,Opelka R.,Anderson K.,29,97.0,USA,2015,100,211,Right,RSA,2007.0,93.0,203.0,Right,Yes,-68.0,Medium,Yes
2022,Millman J.,Lopez F.,89,109.0,AUS,2006,79,183,Right,ESP,1997.0,73.0,185.0,Left,Yes,-20.0,Low,No
2022,Otte O.,Tseng C.H.,96,190.0,GER,2011,79,183,Right,,,,,,Yes,-94.0,High,
